HEADING,FREQUENCY,PATENT NUMBER,DISCARDED
INDUSTRIAL APPLICABILITY,65,4193318,N
FIRST EMBODIMENT,63,5329324,Y
EXAMPLE I,61,4052483,Y
EXAMPLE 21,61,4221802,Y
SECOND EMBODIMENT,60,5329324,Y
DESCRIPTION OF THE INVENTION,60,4057394,N
EXAMPLE,59,4134535,Y
DETAILED DESCRIPTION OF THE DRAWINGS,59,4156116,Y
FIELD OF INVENTION,58,4336723,N
OBJECTS OF THE INVENTION,58,4045792,N
COMPARATIVE EXAMPLE 3,57,4164529,Y
EXAMPLE 22,57,4221802,Y
EXAMPLE II,55,4052483,Y
RELATED APPLICATION,55,4153743,Y
DESCRIPTION OF PREFERRED EMBODIMENTS,53,4053707,N
FIELD,53,6941773,N
EXAMPLE 23,53,4221802,Y
EXAMPLE III,52,4063017,Y
REFERENCES,51,4486850,Y
EXAMPLE 24,50,4221802,Y
EXAMPLE 25,49,4221802,Y
EXAMPLE 26,45,4221802,Y
SUMMARY OF INVENTION,44,4262763,N
BRIEF DESCRIPTION OF THE INVENTION,44,4378264,N
EXAMPLE 27,43,4221802,Y
BRIEF DESCRIPTION OF THE SEVERAL VIEWS OF THE DRAWINGS,43,5921326,Y
COMPARATIVE EXAMPLE 4,41,4622181,Y
EXAMPLE IV,41,4047533,Y
EXAMPLE 28,40,4221802,Y
THIRD EMBODIMENT,40,5329324,Y
EXAMPLE 30,39,4221802,Y
EXAMPLE 29,39,4221802,Y
DEFINITIONS,37,5585537,Y
EXAMPLE 31,37,4221802,Y
EXAMPLE 32,37,4113628,Y
DESCRIPTION,35,4386487,N
EXAMPLE 34,35,4221802,Y
EXAMPLE 33,35,4221802,Y
EXAMPLE V,34,4063017,Y
STATEMENT REGARDING FEDERALLY SPONSORED RESEARCH OR DEVELOPMENT,33,5908141,Y
TECHNICAL FIELD OF THE INVENTION,33,4247913,N
EXAMPLE 36,33,4221802,Y
DISCLOSURE OF INVENTION,32,4193318,N
DETAILED DESCRIPTION OF THE EMBODIMENTS,31,4699233,N
CROSS-REFERENCES TO RELATED APPLICATIONS,31,4483688,Y
EMBODIMENT 2,30,5337716,Y
EMBODIMENT 1,30,5111335,Y
EXAMPLE 35,30,4221802,Y
EXAMPLE 37,29,4221802,Y
DETAILED DESCRIPTION OF A PREFERRED EMBODIMENT,29,4608058,N
EXAMPLE 40,29,4113628,Y
COMPARATIVE EXAMPLE 5,29,4622181,Y
EXAMPLE 39,28,4113628,Y
EXAMPLE 38,28,4221802,Y
BRIEF SUMMARY,27,7504286,N
EXAMPLE VI,27,4063017,Y
DESCRIPTION OF DRAWINGS,27,4352067,Y
DESCRIPTION OF THE PRIOR ART,27,4138571,Y
EXAMPLE 41,27,4221802,Y
OBJECTS AND SUMMARY OF THE INVENTION,27,4184149,N
DESCRIPTION OF THE EMBODIMENTS,26,5606716,N
BACKGROUND OF INVENTION,25,4564900,Y
FOURTH EMBODIMENT,25,5712810,Y
EXAMPLE 42,25,4221802,Y
BACKGROUND INFORMATION,25,4721528,Y
DESCRIPTION OF A PREFERRED EMBODIMENT,24,4183230,N
CONCLUSION,24,4998349,Y
EXAMPLE 43,24,4221802,Y
EXAMPLE 44,24,4221802,Y
SUMMARY OF THE PRESENT INVENTION,24,4134535,N
BRIEF DESCRIPTION OF THE SEVERAL VIEWS OF THE DRAWING,22,5727592,Y
EXAMPLE 47,22,4221802,Y
EXAMPLE 45,22,4221802,Y
CROSS REFERENCES TO RELATED APPLICATIONS,21,4076346,Y
EXAMPLE 48,21,4221802,Y
EXAMPLE 49,21,4221802,Y
EMBODIMENT 3,21,5467731,Y
PRIORITY CLAIM,21,6037010,Y
EXAMPLE 50,20,4221802,Y
DESCRIPTION OF EMBODIMENTS,20,6575330,N
OBJECT OF THE INVENTION,20,4466464,N
COMPARATIVE EXAMPLE 6,20,4622181,Y
COMPARATIVE EXAMPLE 7,20,4966814,Y
DESCRIPTION OF THE RELATED ART,20,5251859,Y
EXAMPLE 46,20,4221802,Y
EXAMPLE 52,19,4113628,Y
CLAIM OF PRIORITY,19,6100666,Y
PRIOR ART,19,4047533,Y
FIFTH EMBODIMENT,18,5712810,Y
EXAMPLE 53,18,4113628,Y
DRAWINGS,18,4230886,Y
EXAMPLE 51,18,4113628,Y
EXAMPLE 54,18,4113628,Y
EMBODIMENT 4,17,5467731,Y
INCORPORATION BY REFERENCE,17,6647961,Y
DETAILED DESCRIPTION OF EMBODIMENTS,17,5818623,N
DESCRIPTION OF RELATED ART,17,5134659,Y
EXAMPLE 55,16,4113628,Y
DESCRIPTION OF THE DRAWING,16,4219849,Y
REFERENCE TO RELATED APPLICATIONS,16,4681023,Y
DESCRIPTION OF PREFERRED EMBODIMENT,16,4148264,N
OPERATION,16,4177662,N
DESCRIPTION OF THE FIGURES,15,4720929,Y
OTHER EMBODIMENTS,15,4434345,Y
COMPARATIVE EXAMPLE 8,15,4966814,Y
EXAMPLE VII,15,4063017,Y
EXAMPLE 56,14,4113628,Y
EXAMPLE 60,13,4221802,Y
EXAMPLE 70,13,4113628,Y
EXAMPLE 67,13,4221802,Y
EXAMPLE 57,13,4113628,Y
SIXTH EMBODIMENT,13,5712810,Y
DETAILED DESCRIPTION OF PREFERRED EMBODIMENT,13,4319670,N
SUMMARY OF THE DISCLOSURE,13,5056508,N
EXAMPLE 58,12,4221802,Y
COMPARATIVE EXAMPLE,12,4809043,Y
EXAMPLE 69,12,4113628,Y
DETAILED DESCRIPTION OF THE DRAWING,12,4045792,Y
EXAMPLE 66,12,4221802,Y
STATEMENT REGARDING FEDERALLY SPONSORED RESEARCH,12,6035907,Y
DETAILED DESCRIPTION OF THE ILLUSTRATED EMBODIMENTS,12,4547194,Y
DETAILED DESCRIPTION OF ILLUSTRATIVE EMBODIMENTS,12,4540858,Y
EXAMPLE 71,12,4113628,Y
EXAMPLE VIII,12,4063017,Y
EXAMPLE 72,12,4113628,Y
EXAMPLE 68,12,4221802,Y
EXAMPLE 59,12,4221802,Y
EXPERIMENTAL,11,4525540,Y
DETAILED DESCRIPTION OF THE EXEMPLARY EMBODIMENTS,11,6839116,Y
BACKGROUND TO THE INVENTION,11,4364961,Y
EXAMPLE 92,11,4113628,Y
EXAMPLE 90,11,4113628,Y
BACKGROUND OF THE DISCLOSURE,11,4119718,Y
EXAMPLE 73,11,4113628,Y
CITATION LIST,11,8430535,Y
PRIORITY,11,7608883,Y
EMBODIMENT 5,11,5467731,Y
CROSS REFERENCE,11,4129530,Y
MATERIALS AND METHODS,11,5075431,Y
PATENT LITERATURE,11,8430535,Y
EFFECTS OF THE INVENTION,11,4895555,N
PROBLEMS TO BE SOLVED BY THE INVENTION,11,6527818,N
PREFERRED EMBODIMENTS OF THE INVENTION,11,5051639,N
TECHNICAL PROBLEM,11,7884212,N
DESCRIPTION OF THE SPECIFIC EMBODIMENTS,11,4525540,N
OBJECT AND SUMMARY OF THE INVENTION,11,4443886,N
EXAMPLE 91,10,4113628,Y
EXAMPLE X,10,4063017,Y
EXAMPLE 61,10,4304591,Y
EMBODIMENT 6,10,5467731,Y
BEST MODES FOR CARRYING OUT THE INVENTION,10,4813118,Y
DETAILED DESCRIPTION OF THE PRESENTLY PREFERRED EMBODIMENTS,10,5210373,N
DETAILED DESCRIPTION OF EMBODIMENTS OF THE INVENTION,10,6575514,N
DETAILED DESCRIPTION OF INVENTION,10,5189058,N
DETAILED DESCRIPTION OF THE PRESENT INVENTION,10,4547528,N
EXAMPLE 74,10,4113628,Y
EXAMPLE IX,10,4063017,Y
EXAMPLE 78,10,4113628,Y
EXAMPLE 65,10,4221802,Y
FIELD AND BACKGROUND OF THE INVENTION,10,4476785,Y
COMPARATIVE EXAMPLE 9,10,4923956,Y
EXAMPLE 63,10,4221802,Y
EXAMPLE 62,10,4221802,Y
EXAMPLE 64,10,4221802,Y
CROSS-REFERENCE TO RELATED APPLICATION(S),10,6760181,Y
CROSS-REFERENCE,9,7229848,Y
REFERENCE SIGNS LIST,9,8430535,Y
DESCRIPTION OF PRIOR ART,9,4167980,Y
BACKGROUND AND PRIOR ART,9,4057394,Y
EXAMPLE 95,9,4113628,Y
EXAMPLE 75,9,4113628,Y
EXAMPLE 94,9,4113628,Y
EXAMPLE 83,9,4113628,Y
EXAMPLE 85,9,4113628,Y
EXAMPLE 80,9,4113628,Y
EXAMPLE 89,9,4113628,Y
DETAILED DESCRIPTION OF PREFERRED EMBODIMENTS OF THE INVENTION,9,5712691,N
DETAILED DESCRIPTION OF A PREFERRED EMBODIMENT OF THE INVENTION,9,4415459,N
EXAMPLE 86,9,4113628,Y
DETAILED DESCRIPTION OF THE PREFERRED EMBODIMENT(S),9,5250995,N
FIELD OF THE DISCLOSURE,9,7231306,N
SEVENTH EMBODIMENT,8,5712810,Y
REFERENCE TO A MICROFICHE APPENDIX,8,5908141,Y
EMBODIMENT 7,8,5111335,Y
RELATED APPLICATION DATA,8,5754585,Y
EXAMPLE 84,8,4113628,Y
EXAMPLE 81,8,4113628,Y
EXAMPLE 87,8,4113628,Y
EXAMPLE 88,8,4113628,Y
EXAMPLE 93,8,4113628,Y
EXAMPLE 76,8,4113628,Y
GOVERNMENT SUPPORT,8,5208786,Y
EXAMPLE 79,8,4113628,Y
EXAMPLE 77,8,4113628,Y
EXAMPLE 82,8,4113628,Y
RESULTS,8,4483688,Y
ADVANTAGEOUS EFFECTS OF INVENTION,8,8586523,N
MEANS FOR SOLVING THE PROBLEMS,8,7498579,N
DETAILED DESCRIPTION OF THE PREFERRED EMBODIMENTS OF THE INVENTION,8,5420083,N
BEST MODE FOR CARRYING OUT THE INVENTION,8,4676349,N
SUMMARY OF THE INVENTION ,8,7141554,N
DESCRIPTION OF THE PREFERRED EMBODIMENT(S),8,4609005,N
PREFERRED EMBODIMENT OF THE INVENTION,8,4073701,N
EXAMPLE 178,7,4221802,Y
CROSS-REFERENCE TO RELATED PATENT APPLICATIONS,7,5468811,Y
EXAMPLE 109,7,4221802,Y
EXAMPLE 116,7,4221802,Y
TECHNICAL BACKGROUND,7,5410911,Y
IN THE DRAWINGS,7,4165080,Y
COMPARATIVE EXAMPLE 10,7,4966814,Y
BRIEF DESCRIPTIONS OF THE DRAWINGS,7,4377273,Y
BEST MODE OF CARRYING OUT THE INVENTION,7,4386487,Y
EXAMPLE 133,7,4221802,Y
EXAMPLE XI,7,4063017,Y
EXAMPLE 132,7,4221802,Y
EXAMPLES 1-4,7,4783347,Y
EXAMPLE 119,7,4221802,Y
EXAMPLE 142,7,4221802,Y
COPYRIGHT NOTICE,7,5733729,Y
EMBODIMENT 8,7,5111335,Y
EXAMPLE 143,7,4221802,Y
REFERENCE EXAMPLE 1,7,4808708,Y
EXAMPLE 140,7,4221802,Y
EFFECT OF THE INVENTION,7,5510515,N
BRIEF DESCRIPTION,7,7791252,N
LIST OF REFERENCE NUMERALS,7,5071435,Y
EXAMPLE 138,6,4221802,Y
EXAMPLE 128,6,4221802,Y
COMPARATIVE EXAMPLE A,6,4358411,Y
EXAMPLE 117,6,4221802,Y
EXAMPLE 122,6,4221802,Y
EXAMPLE 170,6,4221802,Y
BRIEF DESCRIPTION OF THE ACCOMPANYING DRAWINGS,6,5576303,Y
EXAMPLE 167,6,4221802,Y
EXAMPLE 130,6,4221802,Y
EXAMPLE 136,6,4221802,Y
EXAMPLE 141,6,4221802,Y
EXAMPLE 135,6,4221802,Y
EMBODIMENT 9,6,5111335,Y
EXAMPLE 134,6,4221802,Y
EXAMPLE A,6,4326985,Y
PREPARATION 1,6,4200581,Y
EXAMPLE 131,6,4221802,Y
EXAMPLE 112,6,4221802,Y
STATE OF THE ART,6,4719763,Y
EXAMPLE 125,6,4221802,Y
EXAMPLE 1 ,6,7154844,Y
EXAMPLE 113,6,4221802,Y
EXAMPLE 114,6,4221802,Y
EXAMPLE 118,6,4221802,Y
EXAMPLE 120,6,4221802,Y
EXAMPLE 1A,6,5120782,Y
EXAMPLE 139,6,4221802,Y
THE INVENTION,6,4130191,N
DETAILED DESCRIPTION OF SPECIFIC EMBODIMENTS,6,6797172,N
SUMMARY AND OBJECTS OF THE INVENTION,6,4980661,N
DETAILED DESCRIPTION OF THE PREFERRED EMBODIMENT OF THE INVENTION,6,4545555,N
ADVANTAGES OF THE INVENTION,6,5607863,N
EXAMPLE 137,6,4221802,Y
EXAMPLE 129,6,4221802,Y
EXAMPLE 104,6,4221802,Y
EXPERIMENTAL EXAMPLE 1,6,6921964,Y
SYNTHESIS EXAMPLE 1,6,5180649,Y
EXAMPLE 181,6,4221802,Y
EXAMPLE XII,6,4063017,Y
EXAMPLE 174,6,4221802,Y
EXAMPLE 183,6,4221802,Y
1. FIELD OF THE INVENTION,6,5583046,Y
STATEMENT OF GOVERNMENT INTEREST,6,4432775,Y
EXAMPLE 204,6,4221802,Y
EXAMPLE 179,6,4221802,Y
EXAMPLE 182,6,4221802,Y
EXAMPLE 110,6,4221802,Y
BACKGROUND TECHNOLOGY,6,6049146,Y
EXAMPLE 101,6,4221802,Y
EXAMPLE 173,6,4221802,Y
EXAMPLE 180,6,4221802,Y
SEQUENCE LISTING,6,7888054,Y
EXAMPLE 202,6,4221802,Y
EXAMPLE 111,6,4221802,Y
COMPARATIVE EXAMPLE 11,5,4966814,Y
EXAMPLE 166,5,4221802,Y
EXAMPLE 105,5,4221802,Y
COMPARATIVE EXAMPLE 12,5,4966814,Y
EXAMPLE 169,5,4221802,Y
DESCRIPTION OF ILLUSTRATIVE EMBODIMENTS,5,4368501,Y
EXAMPLE 168,5,4221802,Y
EXAMPLE XIII,5,4063017,Y
EXAMPLE 175,5,4221802,Y
EXAMPLE XV,5,4063017,Y
EXAMPLE 176,5,4221802,Y
EXAMPLE XIV,5,4063017,Y
EXAMPLE 158,5,4221802,Y
EXAMPLE 161,5,4221802,Y
BRIEF DESCRIPTION OF THE SEVERAL VIEWS OF THE DRAWING(S),5,6997455,Y
EXAMPLE 159,5,4221802,Y
EXAMPLE 184,5,4221802,Y
EXAMPLE 157,5,4221802,Y
IN THE DRAWING,5,4454533,Y
BRIEF DESCRIPTION OF SEVERAL VIEWS OF THE DRAWINGS,5,6221132,Y
EXAMPLE 144,5,4221802,Y
EXAMPLE 145,5,4221802,Y
DESCRIPTION OF PREFERRED EMBODIMENTS OF THE INVENTION,5,4703260,N
DETAILED DESCRIPTION OF THE DISCLOSURE,5,6217168,N
DETAILED DESCRIPTION OF THE EMBODIMENT,5,5791227,N
SOLUTION TO PROBLEM,5,8703969,N
EXAMPLE 115,5,4221802,Y
EXAMPLE B,5,4326985,Y
BACKGROUND OF THE ART,5,4446166,Y
SPECIFIC DESCRIPTION,5,4742464,Y
EXAMPLE 151,5,4221802,Y
EXAMPLE 150,5,4221802,Y
EXAMPLE 155,5,4221802,Y
REFERENCE TO RELATED APPLICATION,5,4440172,Y
EXAMPLE 149,5,4221802,Y
EXAMPLE 148,5,4221802,Y
BACKGROUND OF THE INVENTION ,5,7144067,Y
EXAMPLE 147,5,4221802,Y
EXAMPLE 146,5,4221802,Y
EXAMPLE 156,5,4221802,Y
EXAMPLE 177,5,4221802,Y
EXAMPLE #3,5,4282582,Y
EXAMPLE 107,5,4221802,Y
EXAMPLE 127,5,4221802,Y
EXAMPLE 108,5,4221802,Y
EMBODIMENT 11,5,5111335,Y
EXAMPLE 186,5,4221802,Y
EXAMPLE 187,5,4221802,Y
EXPERIMENTAL EXAMPLE 2,5,6921964,Y
EXAMPLE 197,5,4221802,Y
EXAMPLES 2 AND 3,5,5156860,Y
TEST METHODS,5,5622547,Y
EXAMPLE 171,5,4221802,Y
EXAMPLE 97,5,4221802,Y
EMBODIMENTS,5,5401704,Y
EXAMPLE 98,5,4221802,Y
EXAMPLE 1B,5,5644036,Y
EXAMPLE 185,5,4221802,Y
EXAMPLE 99,5,4221802,Y
THE DRAWINGS,5,4130191,Y
EXAMPLE 96,5,4221802,Y
EXAMPLE 103,5,4221802,Y
EXAMPLE 124,5,4221802,Y
CROSS REFERENCE TO RELATED APPLICATION(S),5,5927549,Y
EMBODIMENT 10,5,5111335,Y
EXAMPLE 102,5,4221802,Y
EXAMPLE 199,5,4221802,Y
EXAMPLE 200,5,4221802,Y
EXAMPLE #1,5,4282582,Y
EXAMPLE 126,5,4221802,Y
EXAMPLE 201,5,4221802,Y
EXAMPLE 100,5,4221802,Y
DETAILED DESCRIPTION OF EXAMPLE EMBODIMENTS,5,7723420,Y
EXAMPLE 198,5,4221802,Y
EXAMPLE 123,5,4221802,Y
EXAMPLE 203,5,4221802,Y
EXAMPLE 121,5,4221802,Y
EXPERIMENTAL EXAMPLE 3,5,6921964,Y
EXAMPLE 205,5,4221802,Y
EXAMPLE 206,5,4221802,Y
EXAMPLE 160,4,4221802,Y
FEDERALLY SPONSORED RESEARCH,4,7052385,Y
EXAMPLE 217,4,4221802,Y
DETAILED DISCLOSURE OF THE INVENTION,4,4879684,N
FIELD OF TECHNOLOGY,4,6059862,N
DESCRIPTION OF SPECIFIC EMBODIMENTS,4,4576805,N
ADVANTAGEOUS EFFECTS,4,7973600,N
BRIEF DESCRIPTION OF THE PRESENT INVENTION,4,4415459,N
EXAMPLE 154,4,4221802,Y
EXAMPLE 218,4,4221802,Y
EXAMPLE 153,4,4221802,Y
EXAMPLE 152,4,4221802,Y
EXAMPLE 164,4,4221802,Y
EXAMPLE 208,4,4221802,Y
2. BACKGROUND OF THE INVENTION,4,5583046,Y
DEFINITION OF TERMS,4,5420123,Y
EXAMPLE 2 ,4,7154844,Y
WORKING EXAMPLES,4,4698137,Y
EXAMPLE 162,4,4221802,Y
EXAMPLE 219,4,4221802,Y
EXAMPLE 165,4,4221802,Y
EXAMPLE 194,4,4221802,Y
EXAMPLE 106,4,4221802,Y
EXAMPLE 3 ,4,7154844,Y
EXAMPLE 220,4,4221802,Y
EXAMPLE 210,4,4221802,Y
EXAMPLE 207,4,4221802,Y
EXAMPLE 211,4,4221802,Y
EXAMPLE 196,4,4221802,Y
EXAMPLE 195,4,4221802,Y
EXAMPLE 193,4,4221802,Y
EXAMPLE 216,4,4221802,Y
EXAMPLE 212,4,4221802,Y
EXAMPLE 192,4,4221802,Y
EXAMPLE 190,4,4221802,Y
EXAMPLE 213,4,4221802,Y
EXAMPLE 189,4,4221802,Y
EXAMPLE 188,4,4221802,Y
EXAMPLE 214,4,4221802,Y
EXAMPLE 215,4,4221802,Y
I. DEFINITIONS,4,5891617,Y
5. EXAMPLES,4,5583046,Y
EXPERIMENTAL EXAMPLE 4,4,8637079,Y
THE SECOND EMBODIMENT,4,7964957,Y
ORIGIN OF THE INVENTION,4,4045792,Y
NINTH EMBODIMENT,4,5712810,Y
EXAMPLE XVII,4,4063017,Y
EXAMPLES 2-4,4,4675373,Y
EXAMPLE XVI,4,4063017,Y
EXAMPLE 209,4,4221802,Y
EXAMPLE 172,4,5618808,Y
STATEMENT OF GOVERNMENT SUPPORT,4,6695860,Y
EQUIVALENTS,4,5208786,Y
GOVERNMENT RIGHTS,4,6376273,Y
EXAMPLE 1C,4,5644036,Y
SYNTHESIS EXAMPLE 2,4,5180649,Y
CROSS-REFERENCES,4,5607863,Y
BRIEF DESCRIPTION OF THE DRAWING(S),4,6161564,Y
TABLES,4,5998709,Y
PRIOR ART DOCUMENT,4,8584646,Y
EXAMPLE 242,4,4221802,Y
APPENDIX,4,4579677,Y
DRAWING FIGURES,4,4953783,Y
PATENT DOCUMENT,4,8817244,Y
EXAMPLE 163,4,4221802,Y
EXAMPLE D,4,4326985,Y
EXAMPLE C,4,4326985,Y
EMBODIMENT 12,4,5111335,Y
EXAMPLE #2,4,4282582,Y
OVERVIEW,4,6618720,Y
FIRST EXEMPLARY EMBODIMENT,4,7354162,Y
REFERENCE NUMERALS,4,4807732,Y
REFERENCE EXAMPLE 4,4,4923956,Y
EXAMPLES AND COMPARATIVE EXAMPLES,4,4323485,Y
REFERENCE EXAMPLE 2,4,4923956,Y
REFERENCE EXAMPLE 3,4,4923956,Y
DISCUSSION,4,5990095,Y
COMPARATIVE EXAMPLE 13,3,6905763,Y
CROSS-REFERENCE TO PRIOR APPLICATION,3,7374862,Y
EMBODIMENT 13,3,5111335,Y
EXAMPLE 221,3,4221802,Y
BACKGROUND OF THE PRIOR ART,3,4247913,Y
RELATED ART,3,6909638,Y
EXAMPLE 241,3,4221802,Y
INCORPORATION-BY-REFERENCE OF MATERIAL SUBMITTED ON A COMPACT DISC,3,8028381,Y
DETAILED DESCRIPTION OF EXEMPLARY EMBODIMENT,3,4776781,Y
RESULTS AND DISCUSSION,3,5124004,Y
GOVERNMENT INTEREST,3,5801327,Y
EXAMPLE NO. 1,3,6332442,Y
DISCLOSURE,3,8142932,Y
EMBODIMENT 14,3,5111335,Y
EXAMPLE 231,3,4221802,Y
EXAMPLE XVIII,3,4287083,Y
COMPARATIVE EXAMPLE I,3,4293620,Y
COMPARATIVE EXAMPLE 20,3,6875144,Y
EXPERIMENTAL SECTION,3,6211391,Y
BACKGROUND OF THE PRESENT INVENTION,3,5847179,Y
COMPARATIVE EXAMPLE 14,3,4966814,Y
COMPARATIVE EXAMPLE 15,3,4966814,Y
COMPARATIVE EXAMPLE 16,3,4966814,Y
FIELD OF ART,3,5945370,Y
EXAMPLE 222,3,4221802,Y
EXAMPLES 1-3,3,4229180,Y
EXAMPLE 223,3,4221802,Y
CONTROL 1,3,4227166,Y
EXAMPLE 232,3,4221802,Y
REFERENCE TO SEQUENCE LISTING,3,7565972,Y
RELATED APPLICATION INFORMATION,3,6356973,Y
TABLE OF CONTENTS,3,5198568,Y
COMPARATIVE EXAMPLES 1 AND 2,3,4164529,Y
EXPERIMENT 2,3,5281479,Y
EXPERIMENT 3,3,5281479,Y
DETAILED SPECIFICATION,3,5284283,Y
EXAMPLES 1-2,3,4892555,Y
FIG. 3,3,4020381,Y
PREPARATION 4,3,4200581,Y
EXAMPLE #10,3,7582702,Y
PREPARATION EXAMPLE 1,3,5552389,Y
GENERAL,3,5552492,Y
EIGHTH EMBODIMENT,3,7638809,Y
EXPERIMENTAL DETAILS,3,6555651,Y
COMPARISON EXAMPLE,3,4871820,Y
TECHNICAL SOLUTION,3,8629097,N
CO-PENDING APPLICATIONS,3,7055739,Y
GENERAL DESCRIPTION OF THE DRAWINGS,3,4140435,Y
PREPARATION 5,3,4200581,Y
PREPARATION 3,3,4200581,Y
COMPARATIVE EXAMPLE B,3,4942206,Y
SYNTHESIS EXAMPLE 3,3,5180649,Y
PREPARATION 2,3,4200581,Y
PREPARATION 6,3,4200581,Y
TEST EXAMPLE 1,3,4895555,Y
CROSS-REFERENCES TO RELATED APPLICATION,3,6965581,Y
EXAMPLE 234,3,4221802,Y
DESCRIPTION OF EXAMPLE EMBODIMENTS,3,8824471,Y
CROSS RELATED APPLICATION,3,4134535,Y
FEDERALLY SPONSORED RESEARCH OR DEVELOPMENT,3,7149248,Y
EXAMPLE 233,3,4221802,Y
EXAMPLES ,3,7141554,Y
EXAMPLE 230,3,4221802,Y
RELATED PATENT DATA,3,6773980,Y
3. SUMMARY OF THE INVENTION,3,5583046,Y
BRIEF DESCRIPTION OF THE FIGURES OF THE DRAWING,3,4664432,Y
FIGURES,3,7906585,Y
REFERENTIAL EXAMPLE 3,3,4670535,Y
METHODS,3,4525540,Y
BRIEF DESCRIPTION OF DRAWING,3,4642042,Y
CROSS REFERENCE TO A RELATED APPLICATION,3,6274236,Y
REFERENTIAL EXAMPLE 1,3,4670535,Y
EXPLANATION OF REFERENCE NUMERALS,3,7276168,Y
DETAILED DESCRIPTION OF PREFERRED EXAMPLE EMBODIMENTS AND OF THE BEST MODE OF THE INVENTION,3,4603084,Y
BRIEF FIGURE DESCRIPTION,3,4603084,Y
BRIEF DESCRIPTION OF THE PRIOR ART,3,4717472,Y
CROSS REFERENCE TO OTHER APPLICATIONS,3,5611294,Y
THE FIRST EMBODIMENT,3,7964957,Y
DETAILED DESCRIPTION OF AN ILLUSTRATIVE EMBODIMENT,3,7308569,Y
EMBODIMENTS OF THE INVENTION,3,5635343,Y
EXPERIMENT 1,3,5576303,Y
CROSS REFERENCE TO RELATED PATENT APPLICATIONS,3,8716718,Y
EXAMPLE 191,3,5618808,Y
STEP 1,3,4713194,Y
DETAILED DESCRIPTION OF PREFERRED AND OTHER EMBODIMENTS,3,7055739,N
BRIEF SUMMARY OF INVENTION,3,4594044,N
DESCRIPTION OF PREFERRED AND OTHER EMBODIMENTS,3,7365874,N
INTRODUCTION,3,5837861,N
PROBLEM TO BE SOLVED BY THE INVENTION,3,8553733,N
OBJECTIVE OF THE INVENTION,3,4698137,N
FIELD OF THE INVENTION AND RELATED ART,3,5940668,N
PROBLEMS THAT THE INVENTION IS TO SOLVE,3,7956026,N
EXAMPLE 235,3,4221802,Y
EXAMPLE ,3,7476338,Y
NAMES OF THE PARTIES TO A JOINT RESEARCH AGREEMENT,3,7565972,Y
EXAMPLES 10-11,3,5639840,Y
ABBREVIATIONS,3,5340731,Y
EXAMPLE 236,3,4221802,Y
REFERENTIAL EXAMPLE 2,3,4670535,Y
EXAMPLE 228,3,4221802,Y
EXAMPLE 237,3,4221802,Y
EXAMPLE 227,3,4221802,Y
PARTS LIST,3,5954122,Y
EXAMPLE 238,3,4221802,Y
